Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
M16540,M,297.9,307.4,1610.0,34.6,219
M16541,M,297.8,307.3,1804.0,26.0,
H31096,H,297.9,307.4,,,225
M16543,M,297.9,307.4,1403.0,52.8,error
L48864,L,297.8,307.3,1438.0,44.5,3
L48865,L,297.9,307.3,1824.0,26.3,5
H31100,H,297.9,307.3,1663.0,28.7,
L48867,L,297.9,307.3,1502.0,36.7,12
L48868,L,297.9,307.4,1606.0,35.5,14
L48869,L,297.9,307.5,1561.0,37.7,16
M16550,M,297.9,307.4,1435.0,42.9,18
L48871,L,297.9,307.5,1602.0,38.3,21
M16552,M,,307.6,1764.0,27.7,23
H31107,H,298.0,307.5,1683.0,27.8,26
L48874,L,298.0,307.5,1618.0,35.2,31
L48875,L,298.0,France,1509.0,,33
L48876,L,297.9,307.6,1550.0,39.0,35
M16557,M,297.9,307.6,1519.0,44.0,37
L48878,L,297.9,307.6,1481.0,38.0,40
L48879,L,298.1,307.7,1289.0,48.3,42
M16560,M,298.0,France,1844.0,23.8,44
L48881,L,298.0,307.7,1479.0,42.5,47
L48882,L,298.0,307.7,1430.0,47.3,error
M16563,M,,307.8,1636.0,36.7,51
M16565,M,,307.8,1608.0,32.6,
L48886,L,298.2,307.8,1521.0,42.9,error
L48887,L,,307.8,1439.0,41.6,62
L48888,L,298.2,307.8,,31.5,64
L48889,L,298.2,307.8,,26.1,66
L48890,L,298.2,307.8,1530.0,35.9,
L48893,L,,307.8,1515.0,46.7,74
L48894,L,298.2,307.8,1388.0,,76
L48895,L,298.2,France,1585.0,34.6,78
L48896,L,298.1,307.7,1523.0,37.7,80
L48897,L,298.2,307.6,1369.0,54.5,
M16578,M,298.2,307.7,,31.0,84
L48899,L,298.2,France,1503.0,38.3,error
L48900,L,,307.7,1459.0,44.5,89
L48901,L,298.2,France,1688.0,32.4,error
M16582,M,298.2,France,1952.0,21.6,93
L48903,L,298.2,307.8,2029.0,19.9,error
M16584,M,298.3,307.8,,52.5,98
M16585,M,298.3,307.8,1392.0,50.4,
L48906,L,298.3,307.8,1906.0,,104
M16587,M,,307.7,1602.0,33.4,106
L48908,L,,307.7,1465.0,,109
M16589,M,298.3,307.7,1439.0,43.8,
M16594,M,,308.1,1501.0,39.2,
H31152,H,298.4,France,,21.4,136
M16603,M,298.5,308.0,1713.0,25.8,error
L48926,L,298.4,308.0,,41.1,162
L48927,L,298.4,France,2381.0,,164
H31162,H,298.4,307.7,1626.0,31.1,166
L48929,L,298.3,307.7,1576.0,33.8,171
L48931,L,298.3,307.6,,20.6,176
L48932,L,298.2,307.6,1492.0,37.2,178
L48933,L,,307.5,1470.0,51.3,180
M16614,M,298.0,307.4,1463.0,,
L48935,L,298.0,307.3,,46.5,185
M16616,M,298.1,307.4,1363.0,60.1,187
M16617,M,298.1,307.4,1335.0,,190
L48938,L,298.1,307.4,1608.0,33.9,193
H31173,H,298.0,307.4,,35.2,195
L48940,L,298.1,307.5,1684.0,33.1,
L48941,L,298.1,307.6,1950.0,20.3,202
H31176,H,298.2,307.6,1460.0,48.6,204
L48943,L,298.2,307.6,1511.0,31.0,209
H31178,H,298.2,307.6,1318.0,55.7,0
L48945,L,,307.6,-307.6,51.8,5
M16626,M,298.3,France,1717.0,27.1,7
M16627,M,298.3,307.7,1520.0,41.4,10
L48949,L,298.4,307.9,1981.0,23.2,error
H31184,H,298.4,307.9,1605.0,,615.8
L48951,L,298.4,307.9,1446.0,45.3,23
L48953,L,298.5,308.0,,59.5,27
L48956,L,298.5,308.1,,31.1,34
L48958,L,,308.2,1325.0,54.0,41
L48960,L,298.5,308.2,1595.0,,
L48961,L,298.5,308.1,1662.0,28.6,error
L48962,L,298.4,308.0,,37.4,
L48964,L,298.3,308.0,-308.0,3.8,57
L48966,L,298.4,308.2,1618.0,,61
M16652,M,298.1,307.7,1445.0,48.0,73
M16655,M,298.1,307.7,1498.0,38.3,81
H31210,H,298.1,307.6,1542.0,37.1,84
M16657,M,298.0,307.6,1508.0,41.8,89
M16658,M,298.0,307.5,1431.0,52.9,92
M16659,M,298.0,307.5,1427.0,,95
M16660,M,298.0,307.5,,,98
M16661,M,298.0,307.5,1427.0,,101
H31216,H,298.1,307.6,1496.0,44.1,
L48983,L,298.1,307.7,1388.0,40.3,615.4
L48984,L,298.1,307.7,1495.0,48.1,111
H31219,H,,307.7,1376.0,56.2,113
H31220,H,298.0,307.6,1593.0,32.2,118
L48987,L,298.0,307.6,1654.0,28.9,123
L48988,L,298.1,307.7,2567.0,12.8,125
L48989,L,298.1,307.7,1767.0,27.0,127
L48990,L,298.1,307.6,1364.0,,129
M16671,M,298.1,France,1569.0,31.2,131
L48993,L,298.1,307.7,1479.0,45.0,136
L48994,L,298.1,307.7,1650.0,34.1,
M16675,M,298.1,France,1565.0,36.3,140
L48996,L,298.1,France,1460.0,,143
L48997,L,298.1,307.7,1664.0,27.6,615.4
M16678,M,298.1,307.7,1435.0,40.9,147
M16679,M,298.1,307.6,2066.0,19.2,150
L49000,L,298.1,307.5,1493.0,43.7,153
L49001,L,298.1,307.6,1354.0,43.3,error
L49002,L,298.1,307.6,,39.4,157
L49003,L,298.1,307.7,1414.0,48.7,159
L49004,L,298.1,France,1391.0,57.4,161
M16685,M,298.0,307.5,1784.0,27.8,163
H31240,H,297.8,307.3,1516.0,40.1,166
M16687,M,297.9,307.3,1420.0,47.8,171
L49010,L,297.8,307.3,1859.0,24.0,178
M16691,M,297.8,307.3,1315.0,54.0,180
M16692,M,,307.4,1330.0,51.7,error
L49013,L,297.8,France,1327.0,61.0,error
H31249,H,297.8,307.3,1555.0,35.8,190
L49016,L,297.7,307.2,1518.0,35.8,error
M16700,M,297.7,307.2,,43.7,2
L49021,L,,France,1668.0,37.8,5
L49023,L,297.6,France,1496.0,39.2,12
M16704,M,297.6,307.1,1471.0,44.9,14
H31260,H,297.7,307.3,1514.0,38.6,19
L49027,L,,France,1412.0,50.7,24
H31262,H,297.7,307.2,1429.0,44.1,26
L49029,L,297.7,307.2,1668.0,32.7,31
M16710,M,297.7,307.2,1372.0,,33
M16711,M,,307.3,1365.0,49.2,error
M16712,M,297.6,307.1,1526.0,39.1,error
L49033,L,297.6,307.2,1486.0,40.6,
M16714,M,297.6,307.2,1470.0,42.6,44
H31269,H,297.7,307.3,1249.0,62.8,error
M16716,M,297.8,307.4,1752.0,26.1,52
L49037,L,297.7,307.4,1643.0,36.5,55
M16718,M,297.8,307.4,1488.0,36.1,57
L49039,L,297.8,France,,45.8,60
L49040,L,,307.6,1607.0,30.3,62
M16721,M,297.9,307.6,1609.0,30.3,64
L49042,L,297.9,307.7,1517.0,44.4,error
M16723,M,297.9,307.7,1517.0,39.5,
L49044,L,297.9,307.7,1546.0,37.6,72
L49045,L,297.9,307.7,1567.0,34.7,74
M16726,M,,307.9,1662.0,28.9,76
L49048,L,,308.0,1361.0,56.9,81
L49051,L,298.3,308.1,1840.0,,88
L49053,L,298.4,308.1,1367.0,,92
L49054,L,,308.1,1598.0,,94
L49055,L,298.3,308.0,1363.0,50.1,
M16738,M,298.1,307.7,1424.0,47.7,103
M16739,M,298.2,307.7,1608.0,33.8,106
L49060,L,298.1,307.7,1705.0,29.1,error
L49061,L,,307.6,1548.0,45.8,111
M16742,M,298.0,307.6,1581.0,43.4,113
M16743,M,298.0,France,,46.7,116
M16744,M,298.0,307.6,1792.0,26.0,119
L49065,L,298.0,307.6,1683.0,32.8,122
