Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L53900,L,301.3,310.6,1458,48.0,104
L53901,L,301.4,310.7,1280,61.0,
L53902,L,301.4,310.7,1657,21.771443866785326,108
M21583,M,301.4,310.6,1565,36.1,110
L53904,L,301.3,310.6,1560,36.8,113
M21585,M,301.5,310.7,1359,47.1,115
L53906,L,301.5,310.8,1500,41.0,118
L53907,L,301.5,310.8,1785,25.5,120
L53908,L,301.5,310.9,1891,,122
H36143,H,301.5,310.9,1524,40.4,124
M21590,M,301.6,311.0,1431,42.3,129
L53911,L,301.6,310.9,1385,51.2,error
L53912,L,301.7,311.0,-311.0,44.8,134
M21593,M,301.7,311.0,1311,46.8,136
M21594,M,301.6,310.9,1575,40.1,error
L53915,L,,311.0,,40.1,
L53916,L,301.7,311.0,1527,42.2,144
M21597,M,301.7,311.0,1537,,146
H36152,H,301.8,France,1463,50.1,149
L53919,L,301.7,311.2,1482,,154
L53920,L,301.8,311.2,1417,55.9,
M21601,M,301.7,311.1,1506,39.5,158
H36156,H,301.7,311.2,1639,30.0,161
L53923,L,301.7,311.2,1418,38.0,166
M21604,M,301.7,311.0,,58.1,168
M21605,M,301.8,311.1,1395,44.6,171
M21606,M,,311.1,1578,40.5,174
M21607,M,301.8,311.1,1597,29.8,177
H36162,H,301.7,311.0,2016,19.3,
L53929,L,301.7,311.0,1585,35.9,185
M21610,M,,311.0,1505,44.0,error
M21611,M,301.7,311.0,1505,37.1,190
L53932,L,301.6,310.9,1706,29.5,193
L53933,L,301.6,France,1385,50.7,195
L53934,L,301.8,311.1,1495,36.9,197
M21615,M,301.8,311.1,1663,31.6,199
L53936,L,301.8,311.2,1840,26.6,202
L53937,L,301.8,France,1822,26.2,204
L53938,L,301.7,311.1,1644,,206
L53939,L,301.7,311.0,1441,44.3,208
L53940,L,,310.9,1451,40.6,0
L53941,L,301.5,310.9,,50.8,2
L53942,L,301.4,310.8,1362,53.2,4
M21623,M,301.4,310.8,1782,26.5,6
L53944,L,301.4,310.9,1536,38.3,9
L53945,L,301.5,France,,32.3,
M21626,M,301.4,311.0,1427,43.2,13
L53947,L,301.3,310.9,1509,41.7,16
H36182,H,301.3,310.8,1434,39.5,18
L53949,L,301.2,310.8,,52.6,23
M21630,M,301.3,310.8,1509,40.1,25
M21631,M,301.2,310.7,1962,22.5,28
L53952,L,301.3,310.7,1536,39.3,31
